date,blood_group,units_requested,day_of_week,month,is_weekend
2024-05-03,A+,27,4,5,0
2024-05-04,A+,19,5,5,1
2024-05-05,A+,16,6,5,1
2024-05-06,A+,18,0,5,0
2024-05-07,A+,19,1,5,0
2024-05-08,A+,28,2,5,0
2024-05-09,A+,25,3,5,0
2024-05-10,A+,23,4,5,0
2024-05-11,A+,21,5,5,1
2024-05-12,A+,17,6,5,1
2024-05-13,A+,34,0,5,0
2024-05-14,A+,24,1,5,0
2024-05-15,A+,35,2,5,0
2024-05-16,A+,27,3,5,0
2024-05-17,A+,24,4,5,0
2024-05-18,A+,17,5,5,1
2024-05-19,A+,28,6,5,1
2024-05-20,A+,31,0,5,0
2024-05-21,A+,24,1,5,0
2024-05-22,A+,28,2,5,0
2024-05-23,A+,16,3,5,0
2024-05-24,A+,21,4,5,0
2024-05-25,A+,17,5,5,1
2024-05-26,A+,17,6,5,1
2024-05-27,A+,34,0,5,0
2024-05-28,A+,18,1,5,0
2024-05-29,A+,20,2,5,0
2024-05-30,A+,30,3,5,0
2024-05-31,A+,29,4,5,0
2024-06-01,A+,19,5,6,1
2024-06-02,A+,31,6,6,1
2024-06-03,A+,31,0,6,0
2024-06-04,A+,34,1,6,0
2024-06-05,A+,27,2,6,0
2024-06-06,A+,25,3,6,0
2024-06-07,A+,25,4,6,0
2024-06-08,A+,25,5,6,1
2024-06-09,A+,24,6,6,1
2024-06-10,A+,26,0,6,0
2024-06-11,A+,30,1,6,0
2024-06-12,A+,32,2,6,0
2024-06-13,A+,25,3,6,0
2024-06-14,A+,26,4,6,0
2024-06-15,A+,23,5,6,1
2024-06-16,A+,11,6,6,1
2024-06-17,A+,30,0,6,0
2024-06-18,A+,22,1,6,0
2024-06-19,A+,32,2,6,0
2024-06-20,A+,38,3,6,0
2024-06-21,A+,24,4,6,0
2024-06-22,A+,14,5,6,1
2024-06-23,A+,20,6,6,1
2024-06-24,A+,26,0,6,0
2024-06-25,A+,31,1,6,0
2024-06-26,A+,29,2,6,0
2024-06-27,A+,26,3,6,0
2024-06-28,A+,28,4,6,0
2024-06-29,A+,15,5,6,1
2024-06-30,A+,25,6,6,1
2024-07-01,A+,36,0,7,0
2024-07-02,A+,21,1,7,0
2024-07-03,A+,20,2,7,0
2024-07-04,A+,25,3,7,0
2024-07-05,A+,21,4,7,0
2024-07-06,A+,14,5,7,1
2024-07-07,A+,13,6,7,1
2024-07-08,A+,27,0,7,0
2024-07-09,A+,25,1,7,0
2024-07-10,A+,29,2,7,0
2024-07-11,A+,25,3,7,0
2024-07-12,A+,21,4,7,0
2024-07-13,A+,20,5,7,1
2024-07-14,A+,15,6,7,1
2024-07-15,A+,30,0,7,0
2024-07-16,A+,19,1,7,0
2024-07-17,A+,17,2,7,0
2024-07-18,A+,19,3,7,0
2024-07-19,A+,25,4,7,0
2024-07-20,A+,19,5,7,1
2024-07-21,A+,21,6,7,1
2024-07-22,A+,25,0,7,0
2024-07-23,A+,23,1,7,0
2024-07-24,A+,35,2,7,0
2024-07-25,A+,33,3,7,0
2024-07-26,A+,32,4,7,0
2024-07-27,A+,22,5,7,1
2024-07-28,A+,22,6,7,1
2024-07-29,A+,23,0,7,0
2024-07-30,A+,28,1,7,0
2024-07-31,A+,23,2,7,0
2024-08-01,A+,22,3,8,0
2024-08-02,A+,19,4,8,0
2024-08-03,A+,23,5,8,1
2024-08-04,A+,21,6,8,1
2024-08-05,A+,26,0,8,0
2024-08-06,A+,25,1,8,0
2024-08-07,A+,18,2,8,0
2024-08-08,A+,29,3,8,0
2024-08-09,A+,26,4,8,0
2024-08-10,A+,25,5,8,1
2024-08-11,A+,21,6,8,1
2024-08-12,A+,31,0,8,0
2024-08-13,A+,27,1,8,0
2024-08-14,A+,28,2,8,0
2024-08-15,A+,32,3,8,0
2024-08-16,A+,27,4,8,0
2024-08-17,A+,23,5,8,1
2024-08-18,A+,18,6,8,1
2024-08-19,A+,27,0,8,0
2024-08-20,A+,36,1,8,0
2024-08-21,A+,31,2,8,0
2024-08-22,A+,25,3,8,0
2024-08-23,A+,30,4,8,0
2024-08-24,A+,14,5,8,1
2024-08-25,A+,19,6,8,1
2024-08-26,A+,23,0,8,0
2024-08-27,A+,30,1,8,0
2024-08-28,A+,27,2,8,0
2024-08-29,A+,29,3,8,0
2024-08-30,A+,31,4,8,0
2024-08-31,A+,18,5,8,1
2024-09-01,A+,18,6,9,1
2024-09-02,A+,27,0,9,0
2024-09-03,A+,23,1,9,0
2024-09-04,A+,27,2,9,0
2024-09-05,A+,28,3,9,0
2024-09-06,A+,29,4,9,0
2024-09-07,A+,23,5,9,1
2024-09-08,A+,12,6,9,1
2024-09-09,A+,21,0,9,0
2024-09-10,A+,22,1,9,0
2024-09-11,A+,28,2,9,0
2024-09-12,A+,26,3,9,0
2024-09-13,A+,16,4,9,0
2024-09-14,A+,30,5,9,1
2024-09-15,A+,10,6,9,1
2024-09-16,A+,28,0,9,0
2024-09-17,A+,30,1,9,0
2024-09-18,A+,24,2,9,0
2024-09-19,A+,31,3,9,0
2024-09-20,A+,22,4,9,0
2024-09-21,A+,21,5,9,1
2024-09-22,A+,10,6,9,1
2024-09-23,A+,33,0,9,0
2024-09-24,A+,28,1,9,0
2024-09-25,A+,19,2,9,0
2024-09-26,A+,31,3,9,0
2024-09-27,A+,36,4,9,0
2024-09-28,A+,16,5,9,1
2024-09-29,A+,19,6,9,1
2024-09-30,A+,25,0,9,0
2024-10-01,A+,24,1,10,0
2024-10-02,A+,23,2,10,0
2024-10-03,A+,24,3,10,0
2024-10-04,A+,25,4,10,0
2024-10-05,A+,19,5,10,1
2024-10-06,A+,18,6,10,1
2024-10-07,A+,31,0,10,0
2024-10-08,A+,31,1,10,0
2024-10-09,A+,20,2,10,0
2024-10-10,A+,25,3,10,0
2024-10-11,A+,34,4,10,0
2024-10-12,A+,22,5,10,1
2024-10-13,A+,22,6,10,1
2024-10-14,A+,29,0,10,0
2024-10-15,A+,26,1,10,0
2024-10-16,A+,27,2,10,0
2024-10-17,A+,25,3,10,0
2024-10-18,A+,32,4,10,0
2024-10-19,A+,19,5,10,1
2024-10-20,A+,20,6,10,1
2024-10-21,A+,31,0,10,0
2024-10-22,A+,26,1,10,0
2024-10-23,A+,27,2,10,0
2024-10-24,A+,26,3,10,0
2024-10-25,A+,27,4,10,0
2024-10-26,A+,19,5,10,1
2024-10-27,A+,18,6,10,1
2024-10-28,A+,24,0,10,0
2024-10-29,A+,27,1,10,0
2024-10-30,A+,33,2,10,0
2024-10-31,A+,31,3,10,0
2024-11-01,A+,20,4,11,0
2024-11-02,A+,18,5,11,1
2024-11-03,A+,17,6,11,1
2024-11-04,A+,20,0,11,0
2024-11-05,A+,29,1,11,0
2024-11-06,A+,27,2,11,0
2024-11-07,A+,38,3,11,0
2024-11-08,A+,26,4,11,0
2024-11-09,A+,17,5,11,1
2024-11-10,A+,16,6,11,1
2024-11-11,A+,25,0,11,0
2024-11-12,A+,30,1,11,0
2024-11-13,A+,31,2,11,0
2024-11-14,A+,42,3,11,0
2024-11-15,A+,21,4,11,0
2024-11-16,A+,21,5,11,1
2024-11-17,A+,17,6,11,1
2024-11-18,A+,29,0,11,0
2024-11-19,A+,34,1,11,0
2024-11-20,A+,32,2,11,0
2024-11-21,A+,21,3,11,0
2024-11-22,A+,31,4,11,0
2024-11-23,A+,10,5,11,1
2024-11-24,A+,9,6,11,1
2024-11-25,A+,26,0,11,0
2024-11-26,A+,31,1,11,0
2024-11-27,A+,29,2,11,0
2024-11-28,A+,37,3,11,0
2024-11-29,A+,28,4,11,0
2024-11-30,A+,20,5,11,1
2024-12-01,A+,28,6,12,1
2024-12-02,A+,28,0,12,0
2024-12-03,A+,32,1,12,0
2024-12-04,A+,33,2,12,0
2024-12-05,A+,25,3,12,0
2024-12-06,A+,32,4,12,0
2024-12-07,A+,34,5,12,1
2024-12-08,A+,28,6,12,1
2024-12-09,A+,26,0,12,0
2024-12-10,A+,42,1,12,0
2024-12-11,A+,34,2,12,0
2024-12-12,A+,32,3,12,0
2024-12-13,A+,30,4,12,0
2024-12-14,A+,26,5,12,1
2024-12-15,A+,23,6,12,1
2024-12-16,A+,30,0,12,0
2024-12-17,A+,30,1,12,0
2024-12-18,A+,35,2,12,0
2024-12-19,A+,35,3,12,0
2024-12-20,A+,30,4,12,0
2024-12-21,A+,15,5,12,1
2024-12-22,A+,23,6,12,1
2024-12-23,A+,27,0,12,0
2024-12-24,A+,28,1,12,0
2024-12-25,A+,30,2,12,0
2024-12-26,A+,25,3,12,0
2024-12-27,A+,22,4,12,0
2024-12-28,A+,24,5,12,1
2024-12-29,A+,23,6,12,1
2024-12-30,A+,30,0,12,0
2024-12-31,A+,33,1,12,0
2025-01-01,A+,27,2,1,0
2025-01-02,A+,32,3,1,0
2025-01-03,A+,37,4,1,0
2025-01-04,A+,21,5,1,1
2025-01-05,A+,32,6,1,1
2025-01-06,A+,31,0,1,0
2025-01-07,A+,26,1,1,0
2025-01-08,A+,35,2,1,0
2025-01-09,A+,30,3,1,0
2025-01-10,A+,36,4,1,0
2025-01-11,A+,25,5,1,1
2025-01-12,A+,21,6,1,1
2025-01-13,A+,38,0,1,0
2025-01-14,A+,28,1,1,0
2025-01-15,A+,19,2,1,0
2025-01-16,A+,35,3,1,0
2025-01-17,A+,32,4,1,0
2025-01-18,A+,29,5,1,1
2025-01-19,A+,18,6,1,1
2025-01-20,A+,29,0,1,0
2025-01-21,A+,28,1,1,0
2025-01-22,A+,35,2,1,0
2025-01-23,A+,34,3,1,0
2025-01-24,A+,31,4,1,0
2025-01-25,A+,24,5,1,1
2025-01-26,A+,17,6,1,1
2025-01-27,A+,34,0,1,0
2025-01-28,A+,34,1,1,0
2025-01-29,A+,42,2,1,0
2025-01-30,A+,33,3,1,0
2025-01-31,A+,33,4,1,0
2025-02-01,A+,23,5,2,1
2025-02-02,A+,17,6,2,1
2025-02-03,A+,34,0,2,0
2025-02-04,A+,27,1,2,0
2025-02-05,A+,27,2,2,0
2025-02-06,A+,27,3,2,0
2025-02-07,A+,27,4,2,0
2025-02-08,A+,18,5,2,1
2025-02-09,A+,22,6,2,1
2025-02-10,A+,27,0,2,0
2025-02-11,A+,27,1,2,0
2025-02-12,A+,30,2,2,0
2025-02-13,A+,28,3,2,0
2025-02-14,A+,25,4,2,0
2025-02-15,A+,17,5,2,1
2025-02-16,A+,21,6,2,1
2025-02-17,A+,24,0,2,0
2025-02-18,A+,23,1,2,0
2025-02-19,A+,23,2,2,0
2025-02-20,A+,29,3,2,0
2025-02-21,A+,34,4,2,0
2025-02-22,A+,22,5,2,1
2025-02-23,A+,25,6,2,1
2025-02-24,A+,27,0,2,0
2025-02-25,A+,28,1,2,0
2025-02-26,A+,36,2,2,0
2025-02-27,A+,32,3,2,0
2025-02-28,A+,32,4,2,0
2025-03-01,A+,23,5,3,1
2025-03-02,A+,25,6,3,1
2025-03-03,A+,35,0,3,0
2025-03-04,A+,30,1,3,0
2025-03-05,A+,21,2,3,0
2025-03-06,A+,35,3,3,0
2025-03-07,A+,38,4,3,0
2025-03-08,A+,25,5,3,1
2025-03-09,A+,22,6,3,1
2025-03-10,A+,31,0,3,0
2025-03-11,A+,23,1,3,0
2025-03-12,A+,31,2,3,0
2025-03-13,A+,27,3,3,0
2025-03-14,A+,30,4,3,0
2025-03-15,A+,19,5,3,1
2025-03-16,A+,18,6,3,1
2025-03-17,A+,28,0,3,0
2025-03-18,A+,36,1,3,0
2025-03-19,A+,31,2,3,0
2025-03-20,A+,28,3,3,0
2025-03-21,A+,37,4,3,0
2025-03-22,A+,25,5,3,1
2025-03-23,A+,13,6,3,1
2025-03-24,A+,38,0,3,0
2025-03-25,A+,33,1,3,0
2025-03-26,A+,37,2,3,0
2025-03-27,A+,32,3,3,0
2025-03-28,A+,41,4,3,0
2025-03-29,A+,23,5,3,1
2025-03-30,A+,11,6,3,1
2025-03-31,A+,29,0,3,0
2025-04-01,A+,36,1,4,0
2025-04-02,A+,34,2,4,0
2025-04-03,A+,32,3,4,0
2025-04-04,A+,28,4,4,0
2025-04-05,A+,25,5,4,1
2025-04-06,A+,25,6,4,1
2025-04-07,A+,33,0,4,0
2025-04-08,A+,36,1,4,0
2025-04-09,A+,34,2,4,0
2025-04-10,A+,32,3,4,0
2025-04-11,A+,28,4,4,0
2025-04-12,A+,32,5,4,1
2025-04-13,A+,35,6,4,1
2025-04-14,A+,42,0,4,0
2025-04-15,A+,37,1,4,0
2025-04-16,A+,25,2,4,0
2025-04-17,A+,24,3,4,0
2025-04-18,A+,30,4,4,0
2025-04-19,A+,24,5,4,1
2025-04-20,A+,24,6,4,1
2025-04-21,A+,34,0,4,0
2025-04-22,A+,26,1,4,0
2025-04-23,A+,41,2,4,0
2025-04-24,A+,41,3,4,0
2025-04-25,A+,26,4,4,0
2025-04-26,A+,15,5,4,1
2025-04-27,A+,24,6,4,1
2025-04-28,A+,39,0,4,0
2025-04-29,A+,33,1,4,0
2025-04-30,A+,34,2,4,0
2025-05-01,A+,25,3,5,0
2025-05-02,A+,28,4,5,0
2025-05-03,A+,25,5,5,1
2025-05-04,A+,23,6,5,1
2025-05-05,A+,30,0,5,0
2025-05-06,A+,19,1,5,0
2025-05-07,A+,38,2,5,0
2025-05-08,A+,19,3,5,0
2025-05-09,A+,28,4,5,0
2025-05-10,A+,20,5,5,1
2025-05-11,A+,20,6,5,1
2025-05-12,A+,32,0,5,0
2025-05-13,A+,24,1,5,0
2025-05-14,A+,25,2,5,0
2025-05-15,A+,22,3,5,0
2025-05-16,A+,33,4,5,0
2025-05-17,A+,22,5,5,1
2025-05-18,A+,24,6,5,1
2025-05-19,A+,32,0,5,0
2025-05-20,A+,38,1,5,0
2025-05-21,A+,37,2,5,0
2025-05-22,A+,29,3,5,0
2025-05-23,A+,28,4,5,0
2025-05-24,A+,18,5,5,1
2025-05-25,A+,24,6,5,1
2025-05-26,A+,31,0,5,0
2025-05-27,A+,24,1,5,0
2025-05-28,A+,31,2,5,0
2025-05-29,A+,33,3,5,0
2025-05-30,A+,22,4,5,0
2025-05-31,A+,21,5,5,1
2025-06-01,A+,20,6,6,1
2025-06-02,A+,27,0,6,0
2025-06-03,A+,23,1,6,0
2025-06-04,A+,18,2,6,0
2025-06-05,A+,24,3,6,0
2025-06-06,A+,23,4,6,0
2025-06-07,A+,22,5,6,1
2025-06-08,A+,22,6,6,1
2025-06-09,A+,29,0,6,0
2025-06-10,A+,20,1,6,0
2025-06-11,A+,22,2,6,0
2025-06-12,A+,24,3,6,0
2025-06-13,A+,28,4,6,0
2025-06-14,A+,19,5,6,1
2025-06-15,A+,22,6,6,1
2025-06-16,A+,32,0,6,0
2025-06-17,A+,22,1,6,0
2025-06-18,A+,23,2,6,0
2025-06-19,A+,28,3,6,0
2025-06-20,A+,27,4,6,0
2025-06-21,A+,24,5,6,1
2025-06-22,A+,21,6,6,1
2025-06-23,A+,36,0,6,0
2024-01-01,A-,4,0,1,0
2024-01-02,A-,6,1,1,0
2024-01-03,A-,5,2,1,0
2024-01-04,A-,4,3,1,0
2024-01-05,A-,3,4,1,0
2024-01-06,A-,3,5,1,1
2024-01-07,A-,5,6,1,1
2024-01-08,A-,6,0,1,0
2024-01-09,A-,5,1,1,0
2024-01-10,A-,5,2,1,0
2024-01-11,A-,4,3,1,0
2024-01-12,A-,5,4,1,0
2024-01-13,A-,3,5,1,1
2024-01-14,A-,5,6,1,1
2024-01-15,A-,4,0,1,0
2024-01-16,A-,5,1,1,0
2024-01-17,A-,7,2,1,0
2024-01-18,A-,6,3,1,0
2024-01-19,A-,4,4,1,0
2024-01-20,A-,2,5,1,1
2024-01-21,A-,4,6,1,1
2024-01-22,A-,5,0,1,0
2024-01-23,A-,6,1,1,0
2024-01-24,A-,5,2,1,0
2024-01-25,A-,5,3,1,0
2024-01-26,A-,5,4,1,0
2024-01-27,A-,2,5,1,1
2024-01-28,A-,4,6,1,1
2024-01-29,A-,4,0,1,0
2024-01-30,A-,6,1,1,0
2024-01-31,A-,6,2,1,0
2024-02-01,A-,5,3,2,0
2024-02-02,A-,3,4,2,0
2024-02-03,A-,3,5,2,1
2024-02-04,A-,3,6,2,1
2024-02-05,A-,5,0,2,0
2024-02-06,A-,5,1,2,0
2024-02-07,A-,4,2,2,0
2024-02-08,A-,4,3,2,0
2024-02-09,A-,5,4,2,0
2024-02-10,A-,2,5,2,1
2024-02-11,A-,3,6,2,1
2024-02-12,A-,5,0,2,0
2024-02-13,A-,5,1,2,0
2024-02-14,A-,4,2,2,0
2024-02-15,A-,6,3,2,0
2024-02-16,A-,3,4,2,0
2024-02-17,A-,5,5,2,1
2024-02-18,A-,4,6,2,1
2024-02-19,A-,3,0,2,0
2024-02-20,A-,3,1,2,0
2024-02-21,A-,5,2,2,0
2024-02-22,A-,4,3,2,0
2024-02-23,A-,4,4,2,0
2024-02-24,A-,5,5,2,1
2024-02-25,A-,2,6,2,1
2024-02-26,A-,4,0,2,0
2024-02-27,A-,4,1,2,0
2024-02-28,A-,2,2,2,0
2024-02-29,A-,5,3,2,0
2024-03-01,A-,5,4,3,0
2024-03-02,A-,5,5,3,1
2024-03-03,A-,5,6,3,1
2024-03-04,A-,6,0,3,0
2024-03-05,A-,6,1,3,0
2024-03-06,A-,6,2,3,0
2024-03-07,A-,5,3,3,0
2024-03-08,A-,5,4,3,0
2024-03-09,A-,5,5,3,1
2024-03-10,A-,5,6,3,1
2024-03-11,A-,6,0,3,0
2024-03-12,A-,6,1,3,0
2024-03-13,A-,5,2,3,0
2024-03-14,A-,6,3,3,0
2024-03-15,A-,6,4,3,0
2024-03-16,A-,2,5,3,1
2024-03-17,A-,5,6,3,1
2024-03-18,A-,6,0,3,0
2024-03-19,A-,5,1,3,0
2024-03-20,A-,7,2,3,0
2024-03-21,A-,4,3,3,0
2024-03-22,A-,6,4,3,0
2024-03-23,A-,4,5,3,1
2024-03-24,A-,4,6,3,1
2024-03-25,A-,6,0,3,0
2024-03-26,A-,6,1,3,0
2024-03-27,A-,4,2,3,0
2024-03-28,A-,6,3,3,0
2024-03-29,A-,5,4,3,0
2024-03-30,A-,5,5,3,1
2024-03-31,A-,5,6,3,1
2024-04-01,A-,5,0,4,0
2024-04-02,A-,5,1,4,0
2024-04-03,A-,5,2,4,0
2024-04-04,A-,7,3,4,0
2024-04-05,A-,4,4,4,0
2024-04-06,A-,4,5,4,1
2024-04-07,A-,3,6,4,1
2024-04-08,A-,6,0,4,0
2024-04-09,A-,5,1,4,0
2024-04-10,A-,5,2,4,0
2024-04-11,A-,7,3,4,0
2024-04-12,A-,5,4,4,0
2024-04-13,A-,4,5,4,1
2024-04-14,A-,4,6,4,1
2024-04-15,A-,5,0,4,0
2024-04-16,A-,8,1,4,0
2024-04-17,A-,4,2,4,0
2024-04-18,A-,6,3,4,0
2024-04-19,A-,8,4,4,0
2024-04-20,A-,5,5,4,1
2024-04-21,A-,4,6,4,1
2024-04-22,A-,4,0,4,0
2024-04-23,A-,7,1,4,0
2024-04-24,A-,6,2,4,0
2024-04-25,A-,4,3,4,0
2024-04-26,A-,5,4,4,0
2024-04-27,A-,3,5,4,1
2024-04-28,A-,1,6,4,1
2024-04-29,A-,4,0,4,0
2024-04-30,A-,6,1,4,0
2024-05-01,A-,5,2,5,0
2024-05-02,A-,4,3,5,0
2024-05-03,A-,6,4,5,0
2024-05-04,A-,4,5,5,1
2024-05-05,A-,3,6,5,1
2024-05-06,A-,4,0,5,0
2024-05-07,A-,5,1,5,0
2024-05-08,A-,4,2,5,0
2024-05-09,A-,3,3,5,0
2024-05-10,A-,4,4,5,0
2024-05-11,A-,4,5,5,1
2024-05-12,A-,4,6,5,1
2024-05-13,A-,5,0,5,0
2024-05-14,A-,5,1,5,0
2024-05-15,A-,6,2,5,0
2024-05-16,A-,5,3,5,0
2024-05-17,A-,4,4,5,0
2024-05-18,A-,5,5,5,1
2024-05-19,A-,4,6,5,1
2024-05-20,A-,6,0,5,0
2024-05-21,A-,3,1,5,0
2024-05-22,A-,4,2,5,0
2024-05-23,A-,4,3,5,0
2024-05-24,A-,5,4,5,0
2024-05-25,A-,5,5,5,1
2024-05-26,A-,2,6,5,1
2024-05-27,A-,5,0,5,0
2024-05-28,A-,3,1,5,0
2024-05-29,A-,6,2,5,0
2024-05-30,A-,3,3,5,0
2024-05-31,A-,5,4,5,0
2024-06-01,A-,4,5,6,1
2024-06-02,A-,4,6,6,1
2024-06-03,A-,4,0,6,0
2024-06-04,A-,4,1,6,0
2024-06-05,A-,6,2,6,0
2024-06-06,A-,5,3,6,0
2024-06-07,A-,5,4,6,0
2024-06-08,A-,4,5,6,1
2024-06-09,A-,2,6,6,1
2024-06-10,A-,3,0,6,0
2024-06-11,A-,4,1,6,0
2024-06-12,A-,4,2,6,0
2024-06-13,A-,4,3,6,0
2024-06-14,A-,5,4,6,0
2024-06-15,A-,4,5,6,1
2024-06-16,A-,3,6,6,1
2024-06-17,A-,4,0,6,0
2024-06-18,A-,5,1,6,0
2024-06-19,A-,4,2,6,0
2024-06-20,A-,5,3,6,0
2024-06-21,A-,4,4,6,0
2024-06-22,A-,4,5,6,1
2024-06-23,A-,2,6,6,1
2024-06-24,A-,5,0,6,0
2024-06-25,A-,4,1,6,0
2024-06-26,A-,4,2,6,0
2024-06-27,A-,5,3,6,0
2024-06-28,A-,4,4,6,0
2024-06-29,A-,3,5,6,1
2024-06-30,A-,2,6,6,1
2024-07-01,A-,3,0,7,0
2024-07-02,A-,5,1,7,0
2024-07-03,A-,6,2,7,0
2024-07-04,A-,4,3,7,0
2024-07-05,A-,4,4,7,0
2024-07-06,A-,2,5,7,1
2024-07-07,A-,1,6,7,1
2024-07-08,A-,5,0,7,0
2024-07-09,A-,3,1,7,0
2024-07-10,A-,3,2,7,0
2024-07-11,A-,5,3,7,0
2024-07-12,A-,5,4,7,0
2024-07-13,A-,4,5,7,1
2024-07-14,A-,3,6,7,1
2024-07-15,A-,4,0,7,0
2024-07-16,A-,3,1,7,0
2024-07-17,A-,4,2,7,0
2024-07-18,A-,4,3,7,0
2024-07-19,A-,3,4,7,0
2024-07-20,A-,3,5,7,1
2024-07-21,A-,3,6,7,1
2024-07-22,A-,4,0,7,0
2024-07-23,A-,4,1,7,0
2024-07-24,A-,5,2,7,0
2024-07-25,A-,5,3,7,0
2024-07-26,A-,6,4,7,0
2024-07-27,A-,2,5,7,1
2024-07-28,A-,3,6,7,1
2024-07-29,A-,6,0,7,0
2024-07-30,A-,3,1,7,0
2024-07-31,A-,3,2,7,0
2024-08-01,A-,4,3,8,0
2024-08-02,A-,6,4,8,0
2024-08-03,A-,2,5,8,1
2024-08-04,A-,4,6,8,1
2024-08-05,A-,4,0,8,0
2024-08-06,A-,3,1,8,0
2024-08-07,A-,7,2,8,0
2024-08-08,A-,5,3,8,0
2024-08-09,A-,5,4,8,0
2024-08-10,A-,4,5,8,1
2024-08-11,A-,4,6,8,1
2024-08-12,A-,6,0,8,0
2024-08-13,A-,6,1,8,0
2024-08-14,A-,4,2,8,0
2024-08-15,A-,6,3,8,0
2024-08-16,A-,4,4,8,0
2024-08-17,A-,4,5,8,1
2024-08-18,A-,2,6,8,1
2024-08-19,A-,5,0,8,0
2024-08-20,A-,4,1,8,0
2024-08-21,A-,3,2,8,0
